id,title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude
3626025,"11 Chestnut Crescent, Bridgemount, Carrigaline, Co. Cork",featured,2022-01-28,290000,3,3,End of Terrace,96.0,Buy,0,3230.0,Roy Dennehy,Dennehy Auctioneers,BRANDED_AGENT,16.0,False,False,False,C2,-8.3825,51.82294
3675175,"58 The Glen, Kilnacourt Woods, Portarlington, Co. Laois",featured,2022-01-28,225000,3,2,Semi-D,93.0,Buy,0,2753.0,Marie Kiernan,Tom McDonald & Associates,BRANDED_AGENT,33.0,False,False,False,C1,-7.177098,53.157465
3673450,"16 Dodderbrook Park, Ballycullen, Dublin 24",featured,2022-01-27,575000,4,3,Semi-D,162.0,Buy,0,10950.0,Moovingo,Moovingo,BRANDED_AGENT,38.0,False,True,False,A3,-6.342763,53.269493
3649708,"31 Lissanalta Drive, Dooradoyle, Co. Limerick",featured,2022-01-28,299000,3,3,Semi-D,,Buy,0,1374.0,DNG Cusack Dunne,DNG Cusack Dunne,BRANDED_AGENT,22.0,False,False,False,C2,-8.640716,52.629588
3643947,"5 Columba Terrace, Kells, Co. Meath",featured,2022-01-28,120000,3,1,Terrace,68.0,Buy,0,1076.0,REA T&J Gavigan,REA T & J Gavigan,BRANDED_AGENT,5.0,False,False,False,G,-6.8797965660927,53.728600531324
3598816,"75 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork",featured,2022-01-30,400000,4,3,Semi-D,113.0,Buy,0,2559.0,Norma Healy,Sherry FitzGerald Cork,BRANDED_AGENT,20.0,True,False,False,C1,-8.614786,51.883612
3563074,"Hyde Park House, Middle Glanmire Road, Montenotte, Co. Cork",featured,2022-01-30,1950000,6,6,Detached,613.0,Buy,0,2559.0,Sheila O'Flynn,Sherry FitzGerald Cork,BRANDED_AGENT,37.0,True,False,False,D2,-8.444135,51.905794
3642653,"11 Douglas Wells, Well Road, Douglas, Co. Cork",featured,2022-01-30,490000,2,2,Apartment,104.0,Buy,0,2559.0,Stuart O'Grady,Sherry FitzGerald Cork,BRANDED_AGENT,16.0,False,False,False,B3,-8.436105,51.879916
3673958,"40 Glenard Crescent, Salthill, Co. Galway",featured,2022-01-30,680000,5,3,Semi-D,169.0,Buy,0,911.0,Tony Kavanagh,Sherry FitzGerald Galway,BRANDED_AGENT,21.0,False,False,False,C2,-9.082283,53.266491
3486462,"Ballykeeran, Co. Westmeath",featured,2022-01-30,695000,7,6,Detached,400.0,Buy,0,2198.0,Helena Kenny,Sherry FitzGerald O'Meara,BRANDED_AGENT,24.0,True,False,False,C2,-7.899131,53.446741
3673477,"Apartment 27, The Oaks, Pelletstown Manor, Royal Canal Park, Dublin 15",featured,2022-01-26,320000,2,2,Apartment,70.0,Buy,0,481.0,Odessa Estates,Odessa Estates,BRANDED_AGENT,15.0,False,True,False,D1,-6.323471,53.377173
3636266,"14 Ballinakill Avenue, Ballinakill, Co. Waterford",featured,2022-01-12,450000,4,2,Detached,,Buy,0,4249.0,Tom Grace,Halley Grace Auctioneers,BRANDED_AGENT,28.0,False,False,False,D1,-7.067098,52.242731
3673344,"The Haven, 1 Cherryfield Walk, Clonsilla, Dublin 15",featured,2022-01-28,275000,2,1,Semi-D,58.0,Buy,0,2636.0,Duffy Auctioneers MIPAV,Duffy Auctioneers,BRANDED_AGENT,14.0,False,False,False,D1,-6.421765,53.395523
3655680,"Knockaneasy, Our Ladys Island",featured,2022-01-14,395000,3,2,Detached,204.0,Buy,1,5489.0,Edel Keane Assoc. RICS BSc (Hons),Keane Auctioneers,BRANDED_AGENT,43.0,True,False,False,C2,-6.37534,52.205808
3552259,"1A Cedarwood Green, Glasnevin, Dublin 11",featured,2022-01-30,490000,3,3,Detached,108.0,Buy,0,2655.0,Sandra D'Arcy,Sherry FitzGerald Drumcondra,BRANDED_AGENT,24.0,False,False,False,C3,-6.282095,53.396259
3474112,"Seamount Rise, Malahide, Co. Dublin",featured,2022-01-11,625000,3,3,Terrace,95.0,New Homes,0,11.0,Sharon Beckett,KELLY BRADSHAW DALTON,BRANDED_AGENT,24.0,False,False,False,G,-6.256121,53.362106
3474113,"Seamount Rise, Malahide, Co. Dublin",featured,2022-01-11,850000,4,3,Semi-D,84.0,New Homes,0,4124.0,Kate Kearney MIPAV MCEI CV TRV,DNG Murphy Condon,BRANDED_AGENT,25.0,False,False,False,E1,-8.486444,51.918711
3476643,"Seamount Rise, Malahide, Co. Dublin",featured,2022-01-11,625000,3,3,Terrace,,New Homes,0,1907.0,Margaret Fogarty,RE/MAX Property Specialists,BRANDED_AGENT,29.0,False,True,False,SI_666,-7.107895,52.255349
3476641,"Seamount Rise, Malahide, Co. Dublin",featured,2022-01-11,850000,4,3,Semi-D,73.0,New Homes,0,10051.0,Sunny M Fahim MIPAV MMCEPI,RELIANCE PROPERTY CONSULTANTS,BRANDED_AGENT,21.0,False,False,False,C1,-6.286219,53.337464
3620146,"6 St Patrick's Cottages, Rathfarnham, Dublin 14",featured,2022-01-30,525000,3,1,Bungalow,70.0,Buy,0,6970.0,James Lyons O'Keeffe,James Lyons O'Keeffe,BRANDED_AGENT,21.0,True,False,False,F,-9.642424,51.553191
3640338,"46 Longmeadows, Conyngham Road, Islandbridge, Dublin 8",featured,2022-01-30,360000,2,1,Apartment,62.0,Buy,0,2835.0,Cormac Curran,Sherry FitzGerald Reynolds,BRANDED_AGENT,42.0,False,False,False,B3,-7.570388,52.045685
