id,title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,category,propertySize,longitude,latitude,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,AMV_price
3672581,"71 Cartron Bay, Sligo, Co. Sligo",standard,2022-02-04,189000,4,2,Semi-D,Buy,,-8.47898,54.279385,1227,Tommy Breheny,Oates Breheny Group,BRANDED_AGENT,11.0,False,False,False,D2,0
3672503,"Apartment 4, Block C, Sligo, Co. Sligo",standard,2022-02-04,125000,2,2,Apartment,Buy,73.0,-8.471501,54.267755,4362,Jonathan McGoldrick MIPAV MCEI,O'Sullivan McGoldrick Property Plus,UNBRANDED_AGENT,4.0,False,False,False,D2,0
3672313,"Apartment 39, Block B, Sligo, Co. Sligo",standard,2022-02-04,95000,1,1,Apartment,Buy,58.0,-8.47235,54.267497,4362,Jonathan McGoldrick MIPAV MCEI,O'Sullivan McGoldrick Property Plus,UNBRANDED_AGENT,11.0,False,False,False,D2,0
3670619,"Apartment 5, Cois Abhainn, Collooney, Co. Sligo",standard,2022-02-04,110000,2,2,Apartment,Buy,,-8.489753,54.186661,1227,Tommy Breheny,Oates Breheny Group,BRANDED_AGENT,6.0,False,False,False,B3,0
3666150,"88 Rusheen Árd, Caltragh, Sligo, Co. Sligo",standard,2022-01-05,210000,3,3,End of Terrace,Buy,95.0,-8.475577,54.257894,2820,Bryan J. Corcoran,Bryan J. Corcoran,UNBRANDED_AGENT,14.0,False,False,True,C2,0
3663243,"53 Rathbraughan Park, Ballytivnan, Sligo, Co. Sligo",standard,2022-02-06,165000,3,1,Semi-D,Buy,107.0,-8.469188,54.286176,6479,Nigel Dineen/Martin Finn Auctioneers,Nigel Dineen/Martin Finn Auctioneers,UNBRANDED_AGENT,10.0,False,False,False,D2,0
3658751,"Finnod, Easkey, Co. Sligo",standard,2022-02-04,160000,3,1,Bungalow,Buy,,-9.001512,54.280738,11249,Edel Rolston,Edel Rolston Property,UNBRANDED_AGENT,19.0,False,False,False,E2,0
3657042,"Fermoyle, Calry, Co. Sligo",standard,2021-12-20,365000,4,2,Detached,Buy,152.0,-8.39187,54.28466,9463,Tom Fox,Tom Fox,UNBRANDED_AGENT,24.0,False,False,False,C1,0
3656516,"23 Seaview Park, First Sea Road, Sligo, Co. Sligo",standard,2022-02-07,196000,3,2,Semi-D,Buy,83.0,-8.505453,54.274208,3765,Mary Fahy,O'Donnellan & Joyce,BRANDED_AGENT,8.0,False,False,False,E1,1
3655719,"40 Springfield, Sligo, Co. Sligo",standard,2022-02-04,150000,4,1,Bungalow,Buy,76.0,-8.473656,54.305055,1227,Tommy Breheny,Oates Breheny Group,BRANDED_AGENT,8.0,False,False,False,G,0
3652599,"3 Lisrua, Ballinafad, Ballinafad, Co. Sligo",standard,2022-01-10,199000,4,3,Semi-D,Buy,144.0,-8.328579,54.026094,936,Mike Smith,Smith Kelly Scott Auctioneers,BRANDED_AGENT,9.0,False,False,False,C1,0
3254638,"Market Court, Market Yard, Sligo, Co. Sligo",standard,2021-12-15,118000,3,2,Apartment,Buy,,-8.473714976810612,54.268467589971465,1335,Mary Henry,Henry Auctioneers,UNBRANDED_AGENT,2.0,False,False,False,D2,0
3652233,"Carrowpadden, Rathlee, Co. Sligo",standard,2022-02-04,185000,3,2,Bungalow,Buy,,-9.012594,54.282427,11249,Edel Rolston,Edel Rolston Property,UNBRANDED_AGENT,47.0,False,False,False,E1,0
3652512,"51 Abhainn Mor, Collooney, Co. Sligo",standard,2022-02-07,180000,4,3,Semi-D,Buy,120.0,-8.494099,54.178222,1371,David Reynolds PSPL 001017,David Reynolds Auctioneers Ltd,UNBRANDED_AGENT,20.0,False,False,False,C2,0
3650881,"Hadanem House, Carrigans Upper, Ballymote, Co. Sligo",standard,2022-02-07,325000,4,3,Bungalow,Buy,,-8.49711,54.099623,3253,Matthew Scanlon,E & M Scanlon Auctioneers & Estate Agents Ltd,UNBRANDED_AGENT,17.0,True,False,False,D1,0
3646158,"Quarryfield, Bunnanadden, Co. Sligo",standard,2021-12-07,50000,2,1,Detached,Buy,,-8.611442920580885,54.03911587355833,3737,John Murphy,Murphy & Son Auctioneers Ltd,UNBRANDED_AGENT,6.0,False,False,False,SI_666,0
3642145,"33 Cleveragh Road, Sligo, Co. Sligo",standard,2021-12-09,320000,5,5,Bungalow,Buy,201.0,-8.467848,54.264551,2820,Bryan J. Corcoran,Bryan J. Corcoran,UNBRANDED_AGENT,32.0,False,False,True,D1,0
3640560,"Ballincar, Rosses Point, Co. Sligo",standard,2022-01-20,469000,6,4,Detached,Buy,260.0,-8.512468,54.30074,1424,Sean O'Boyle,Sean O'Boyle Auctioneers & Valuers Ltd.,BRANDED_AGENT,36.0,False,False,False,C2,0
3634872,"5 Radharc Na Gcaisleán, Collooney, Co. Sligo",standard,2022-02-04,179000,4,3,Semi-D,Buy,112.0,-8.492082,54.177606,1227,Tommy Breheny,Oates Breheny Group,BRANDED_AGENT,17.0,False,False,False,C1,0
